Energy [MeV]	Range [cm]
59.76	3.0008835317052784
62.26	3.2502290548799735
64.76	3.452291524434429
67.26	3.702347937386751
69.76	4.00008625382076
72.26	4.2505969075467975
74.76	4.501565219226108
77.26	4.800558983114623
79.76	5.052311518130967
82.26	5.3518325746975535
84.76	5.65166980476118
87.26	5.9520075527314384
89.76	6.300180637401306
92.26	6.601066019371936
94.76	6.902382705630649
97.26	7.251422486680699
99.76	7.600835195807996
102.26	7.9506049128843985
104.76	8.300607585133095
107.26	8.65100394748008
109.76	9.001618191762274
112.26	9.400117667041487
114.76	9.75125971515651
117.26	10.150422890411207
119.76	10.502368572541243
122.26	10.902099292482387
124.76	11.301987609599474
127.26	11.702343133395479
129.76	12.150410143962162
132.26	12.550961241917513
134.76	12.952196021106218
137.26	13.401010935402338
139.76	13.850101017266386
142.26	14.252350798897863
144.76	14.701816506540233
147.26	15.151875330769085
149.76	15.602173469250605
152.26	16.100242958447406
154.76	16.550903165992384
157.26	17.00193293167724
159.76	17.500698475395918
162.26	17.952136229964918
164.76	18.451539695957347
167.26	18.951051974636623
169.76	19.45080182256136
172.26	19.951075976502935
174.76	20.45118822329116
177.26	20.95162889016494
179.76	21.500007175266237
182.26	22.001008072002918
184.76	22.50223115232756
187.26	23.051451236694234
189.76	23.600535631124362
192.26	24.15008318787162
194.76	24.65201583428633
197.26	25.202367858422015
199.76	25.752277370433724
202.26	26.35045834589048
204.76	26.900510592942897
207.26	27.451714384044678
209.76	28.050273152023653
212.26	28.601546500076417
214.76	29.200123497881442
217.26	29.752122670017737
219.76	30.351296378730652
222.26	30.951095806446183
224.76	31.550745445270493
227.26	32.15110540613588
229.76	32.75125997277529
232.26	33.35189948137942
234.76	33.95233057782837
237.26	34.60096041122778
239.76	35.20175725126451
