e x y z beamid spotid
-22592 -1.03577 0.554504 -39 0 0
1.0519e+06 -0.348037 0.561766 -39 0 1
-378448 -0.691272 1.15452 -39 0 2
251040 -1.75266 -0.353114 -39 0 3
330640 -1.40219 0.259425 -39 0 4
718992 -1.05356 0.869554 -39 0 5
33760 -0.702792 1.47977 -39 0 6
245632 -1.06043 2.07754 -39 0 7
94176 -0.356273 2.08718 -39 0 8
231936 0.346821 2.09509 -39 0 9
1.4165e+06 -0.717503 -0.969365 -39 0 10
404464 -1.78462 -0.357377 -39 0 11
3.62069e+06 -0.003432 0.278984 -39 0 12
-25744 0.708412 0.284975 -39 0 13
-399248 -0.71461 1.50994 -39 0 14
-727712 -0.360846 2.12973 -39 0 15
323456 0.355623 2.13683 -39 0 16
210608 -1.8275 -1.63818 -39 0 17
757312 -1.09674 -1.63028 -39 0 18
-78704 0.728693 0.294133 -39 0 19
-720640 -0.73054 1.54871 -39 0 20
-3.61035e+06 1.46715 1.56651 -39 0 21
-18480 -1.10285 2.1754 -39 0 22
-16032 -1.48322 -2.30645 -39 0 23
179664 -1.85616 -1.66336 -39 0 24
1.93902e+06 -0.374077 -1.65048 -39 0 25
226064 -1.85587 -0.368266 -39 0 26
286192 -1.11093 -0.36038 -39 0 27
1.33227e+06 -0.369145 -0.354048 -39 0 28
907792 -0.74038 0.287656 -39 0 29
475264 -1.11392 0.92807 -39 0 30
-3.12931e+06 1.4919 1.59253 -39 0 31
-206784 -1.11996 2.21228 -39 0 32
-306576 -2.32343 -1.73798 -39 0 33
-4.72198e+06 0.777439 -1.70555 -39 0 34
-714992 -1.93455 -1.0566 -39 0 35
1.01309e+06 -0.769374 -0.370388 -39 0 36
2.87034e+06 0.00124098 -0.365072 -39 0 37
-1.29458e+06 0.773336 -0.359133 -39 0 38
-1.95858e+06 -0.77049 0.973492 -39 0 39
-372576 -1.16384 1.64022 -39 0 40
608944 -0.384289 1.64724 -39 0 41
796416 -2.0237 -2.16522 -39 0 42
442368 -1.20971 -2.15492 -39 0 43
2.61538e+06 0.000652367 -1.44022 -39 0 44
2.26973e+06 -0.401241 -0.73567 -39 0 45
5.45725e+06 0.402269 -0.732425 -39 0 46
3.87773e+06 0.00398664 -0.0276649 -39 0 47
-1.71696e+06 -0.807187 1.37126 -39 0 48
4.52285e+06 0.814751 1.38523 -39 0 49
936720 1.63234 1.38798 -39 0 50
189904 -0.40398 2.0769 -39 0 51
361744 0.410741 2.08259 -39 0 52
-230400 1.22204 2.08992 -39 0 53
-116512 -1.69157 -2.26038 -39 0 54
3.0755e+06 -0.841959 -2.25264 -39 0 55
2.04507e+06 -0.420104 -1.50948 -39 0 56
1.81912e+06 0.00353081 -0.766413 -39 0 57
750224 -1.27343 1.43516 -39 0 58
861664 -0.418577 1.44071 -39 0 59
1.27064e+06 2.13776 1.45695 -39 0 60
-297984 -0.849446 2.17432 -39 0 61
652272 1.71057 2.19061 -39 0 62
2.03189e+06 -0.864261 -1.93121 -39 0 63
28688 -1.30161 -1.17555 -39 0 64
1.49397e+06 -0.431269 -1.16876 -39 0 65
-829968 1.7588 -0.396431 -39 0 66
1.34821e+06 2.19537 0.36252 -39 0 67
-0 -0.431495 1.85798 -39 0 68
1.63168e+06 -0.901453 -2.01696 -39 0 69
1.59026e+06 -0.448385 -1.22 -39 0 70
124176 1.38198 0.372997 -39 0 71
981120 1.83847 1.16549 -39 0 72
-1.25432e+06 -0.450532 1.94298 -39 0 73
-40272 -0.911158 2.72956 -39 0 74
1.04042e+06 -0.916077 -2.05359 -39 0 75
462416 0.0127918 -0.433907 -39 0 76
-2.98003e+06 0.939908 -0.424551 -39 0 77
-37200 1.875 -0.423752 -39 0 78
97120 -0.454551 0.368392 -39 0 79
706464 1.40864 0.378743 -39 0 80
7440 -0.45884 1.97955 -39 0 81
-517872 -0.92723 2.78111 -39 0 82
315696 -1.391 -2.07341 -39 0 83
1.36234e+06 -0.453332 -2.06631 -39 0 84
198032 1.42448 -2.05716 -39 0 85
198976 1.8919 -1.24116 -39 0 86
822160 0.00863092 1.99619 -39 0 87
1.07245e+06 2.82906 2.0081 -39 0 88
433440 -0.463469 2.80538 -39 0 89
137552 -1.39744 -2.08393 -39 0 90
1.0301e+06 -0.454654 -2.07705 -39 0 91
160048 1.43241 -2.06854 -39 0 92
423040 2.37637 -2.06718 -39 0 93
963424 -1.4017 -0.448995 -39 0 94
-62848 -0.93193 0.369755 -39 0 95
794176 0.00892881 2.00591 -39 0 96
804912 2.84422 2.01725 -39 0 97
228672 -0.465462 2.81969 -39 0 98
-18720 -1.43973 -2.14766 -39 0 99
560864 -0.956753 -1.3009 -39 0 100
595280 2.4468 -0.44518 -39 0 101
1.00418e+06 -1.00047 -2.69635 -39 0 102
638624 -1.51473 -1.81268 -39 0 103
526464 -0.492584 -1.80687 -39 0 104
846784 2.7246 -2.84388 -39 0 105
844400 -2.14228 -1.91922 -39 0 106
341008 2.18142 -1.90408 -39 0 107
67104 -1.60526 -0.979546 -39 0 108
378976 1.63821 -0.966099 -39 0 109
828832 -1.09468 -1.97188 -39 0 110
922432 -1.13034 -2.03599 -39 0 111
1.27141e+06 2.13044 0.213543 -39 1 0
890320 1.82864 0.735401 -39 1 1
1.05643e+06 2.42893 0.734039 -39 1 2
940480 1.56564 -0.311311 -39 1 3
998560 1.87583 0.227813 -39 1 4
1.13008e+06 2.18251 0.761847 -39 1 5
741984 2.18039 1.82508 -39 1 6
1.04651e+06 2.49144 2.36126 -39 1 7
799136 1.28641 -1.93924 -39 1 8
1.25384e+06 1.91689 -1.92908 -39 1 9
1.17595e+06 1.6016 -1.38835 -39 1 10
1.05648e+06 2.22608 -1.38699 -39 1 11
1.08782e+06 1.91007 -0.847485 -39 1 12
1.48166e+06 2.21972 0.779042 -39 1 13
2.3428e+06 0.322892 1.82863 -39 1 14
1.12515e+06 1.31131 -1.96187 -39 1 15
1.22757e+06 1.95051 -1.95325 -39 1 16
1.08976e+06 2.57629 -0.855832 -39 1 17
1.2709e+06 2.2585 -0.304762 -39 1 18
1.39285e+06 2.57658 0.248456 -39 1 19
1.36834e+06 0.331688 1.86286 -39 1 20
1.62786e+06 1.02349 -2.2819 -39 1 21
1.16645e+06 1.67872 -2.27088 -39 1 22
934688 2.32578 -2.272 -39 1 23
752320 0.0356523 -1.73785 -39 1 24
1.1232e+06 2.64596 -1.70993 -39 1 25
1.2552e+06 2.641 -0.584675 -39 1 26
1.19704e+06 2.31604 -0.0213261 -39 1 27
1.2065e+06 2.96458 -0.0204803 -39 1 28
1.23934e+06 2.63935 0.541168 -39 1 29
617488 0.0247416 1.63591 -39 1 30
1.56862e+06 0.697387 1.6381 -39 1 31
467520 0.372203 2.19491 -39 1 32
926368 1.02332 2.19968 -39 1 33
569744 -0.624078 -2.33696 -39 1 34
1.2001e+06 2.02459 -2.30237 -39 1 35
1.26168e+06 2.68889 -2.30367 -39 1 36
1.11608e+06 2.35787 -1.73097 -39 1 37
1.19536e+06 3.02277 -1.7335 -39 1 38
1.29891e+06 2.69139 -1.16061 -39 1 39
1.0929e+06 0.374991 -0.616716 -39 1 40
1.11986e+06 1.0374 -0.610379 -39 1 41
1.23035e+06 3.02468 -0.590004 -39 1 42
654816 0.0456257 -0.0520031 -39 1 43
1.03142e+06 0.707644 -0.0446045 -39 1 44
1.32339e+06 2.69144 -0.0141106 -39 1 45
1.02571e+06 -0.28761 0.524034 -39 1 46
787408 0.375693 0.527755 -39 1 47
1.02771e+06 0.0441185 1.09768 -39 1 48
1.2537e+06 -0.287452 1.66627 -39 1 49
1.06829e+06 -0.637102 -2.37413 -39 1 50
1.098e+06 0.0376854 -2.36701 -39 1 51
1.23965e+06 2.05906 -2.34021 -39 1 52
1.21203e+06 2.73498 -2.34002 -39 1 53
1.1007e+06 -2.3287 -1.79446 -39 1 54
1.10904e+06 -0.298851 -1.78658 -39 1 55
1.24019e+06 0.376712 -1.78286 -39 1 56
1.19005e+06 2.39814 -1.75765 -39 1 57
1.28747e+06 3.07507 -1.76058 -39 1 58
1.3105e+06 2.73756 -1.17693 -39 1 59
1.25427e+06 3.41289 -1.17472 -39 1 60
1.2615e+06 3.0766 -0.595813 -39 1 61
1.10997e+06 -0.631802 1.116 -39 1 62
1.45771e+06 -0.294768 1.70018 -39 1 63
751648 0.0354426 -2.42243 -39 1 64
1.11894e+06 -2.39527 -1.83591 -39 1 65
983184 -0.310176 -1.82663 -39 1 66
1.31955e+06 -0.652396 1.15265 -39 1 67
1.01157e+06 -0.999143 1.74626 -39 1 68
1.07437e+06 -0.671641 -2.16287 -39 1 69
1.10061e+06 -1.37088 1.47216 -39 1 70
1.25938e+06 -0.667163 1.48198 -39 1 71
1.35853e+06 -1.01879 2.08278 -39 1 72
1.15091e+06 0.392628 2.09431 -39 1 73
1.19794e+06 -2.49232 -2.20819 -39 1 74
1.02056e+06 -1.77131 -2.2021 -39 1 75
940432 -1.04846 -2.20049 -39 1 76
1.17442e+06 -2.12997 -1.58607 -39 1 77
922832 -1.04454 -0.963966 -39 1 78
796416 -1.40537 -0.344527 -39 1 79
957552 -0.683701 -0.341547 -39 1 80
1.02014e+06 -1.40096 2.12384 -39 1 81
1.4452e+06 0.760048 2.13683 -39 1 82
1.29019e+06 -2.60014 -2.29608 -39 1 83
999488 -0.344334 -2.28285 -39 1 84
1.21904e+06 -2.22299 -1.64706 -39 1 85
1.40483e+06 -2.21874 -0.359943 -39 1 86
945760 -1.46824 -0.353556 -39 1 87
1.4355e+06 0.781763 -0.335765 -39 1 88
1.25384e+06 -1.84163 0.286085 -39 1 89
1.33976e+06 1.15754 0.31031 -39 1 90
1.21614e+06 -1.08981 1.57844 -39 1 91
804336 -1.46376 2.21711 -39 1 92
1.61987e+06 0.785611 2.23451 -39 1 93
1.19466e+06 1.15819 2.88101 -39 1 94
1.43187e+06 -2.32427 -2.38791 -39 1 95
1.07213e+06 -1.53814 -2.3852 -39 1 96
1.1404e+06 -0.752836 -2.38292 -39 1 97
508304 0.0278938 -2.37253 -39 1 98
1.30853e+06 0.420751 -1.69683 -39 1 99
912000 0.0327294 -1.03006 -39 1 100
1.5569e+06 0.812735 -1.02107 -39 1 101
1.26974e+06 0.42185 -0.351457 -39 1 102
1.29819e+06 -2.31588 0.298364 -39 1 103
1.22578e+06 -1.53308 0.305011 -39 1 104
1.19838e+06 -0.749533 0.310121 -39 1 105
1.15566e+06 -1.14004 0.978244 -39 1 106
1.08224e+06 -0.358474 0.98523 -39 1 107
1.12938e+06 0.0333503 1.65837 -39 1 108
1.47334e+06 0.81455 1.66444 -39 1 109
-375216 -1.924 2.31487 -39 1 110
879040 0.423424 2.33187 -39 1 111
1.48426e+06 -3.10136 2.97796 -39 1 112
2.54267e+06 -2.31632 2.98235 -39 1 113
1.69462e+06 0.815381 3.00362 -39 1 114
1.47237e+06 -2.49121 -2.19284 -39 1 115
257120 -0.811755 -2.18223 -39 1 116
