vx vy vz x y z beamid spotid
-0.0317917 -0.165218 -0.141746 -10.3702 -1.29323 7.16798 0 0
-0.0257849 -0.168768 -0.147564 -10.3696 -0.554449 7.12904 0 1
-0.0324722 -0.166232 -0.145622 -9.7647 -1.06765 7.68964 0 2
-0.0325471 -0.15965 -0.13672 -11.2879 -1.96586 6.83101 0 3
-0.0319734 -0.160756 -0.14081 -10.6691 -1.751 7.42617 0 4
-0.0333695 -0.164058 -0.142799 -10.0515 -1.42481 7.59182 0 5
-0.0346305 -0.164936 -0.146907 -9.43648 -1.19359 8.11381 0 6
-0.0461641 -0.171425 -0.136661 -8.80998 -1.26295 6.97748 0 7
-0.0382224 -0.170662 -0.146194 -8.81474 -0.705032 7.66778 0 8
-0.0317021 -0.171323 -0.15442 -8.81768 -0.0989819 8.16557 0 9
-0.0213035 -0.166078 -0.145559 -11.9294 -0.689709 6.1605 0 10
-0.0311229 -0.156877 -0.138736 -11.2934 -2.11481 7.2653 0 11
-0.0206044 -0.16969 -0.151186 -10.6622 -0.175711 7.07793 0 12
-0.0156312 -0.175338 -0.156032 -10.6614 0.701414 6.64497 0 13
-0.0345145 -0.162613 -0.149438 -9.40948 -1.33384 8.58794 0 14
-0.0378362 -0.168095 -0.148573 -8.77721 -0.848133 8.17599 0 15
-0.0319757 -0.169103 -0.15689 -8.78011 -0.228237 8.66862 0 16
-0.0266427 -0.155206 -0.139027 -12.5992 -1.93567 6.39323 0 17
-0.0200648 -0.159641 -0.145426 -12.601 -1.14577 6.34262 0 18
-0.0144556 -0.172978 -0.157728 -10.6541 0.583345 7.14585 0 19
-0.0344936 -0.160224 -0.152128 -9.37399 -1.48191 9.0759 0 20
-0.0198068 -0.169639 -0.170578 -9.37315 0.701229 9.52827 0 21
-0.0448207 -0.165831 -0.141183 -8.72241 -1.57596 7.97692 0 22
-0.0200301 -0.15406 -0.144628 -13.2873 -1.54353 6.27959 0 23
-0.0255925 -0.153388 -0.139974 -12.6242 -2.03001 6.63372 0 24
-0.0148693 -0.165992 -0.15083 -12.6322 -0.261627 5.92214 0 25
-0.0293519 -0.152529 -0.142079 -11.3055 -2.3701 7.94684 0 26
-0.0227511 -0.155044 -0.149802 -11.3053 -1.67484 8.27989 0 27
-0.0174485 -0.161175 -0.153561 -11.3061 -0.788174 7.89231 0 28
-0.0243007 -0.158048 -0.152718 -10.6513 -1.37786 8.63598 0 29
-0.0320895 -0.157739 -0.148969 -9.99892 -1.80643 8.77999 0 30
-0.0201958 -0.169049 -0.171662 -9.348 0.673372 9.72046 0 31
-0.0449726 -0.164519 -0.142458 -8.68773 -1.66245 8.23279 0 32
-0.0292646 -0.150118 -0.136418 -12.6941 -2.53527 6.67192 0 33
-0.0021657 -0.168002 -0.163643 -12.7001 0.747583 6.71762 0 34
-0.0263106 -0.150682 -0.141853 -12.0041 -2.36396 7.5963 0 35
-0.0194611 -0.15461 -0.155192 -11.3188 -1.4474 8.77065 0 36
-0.0150193 -0.164729 -0.155303 -11.3209 -0.314342 7.59264 0 37
-0.0100539 -0.1726 -0.15906 -11.3224 0.71981 6.81911 0 38
-0.0295775 -0.154599 -0.158598 -9.96118 -1.74481 9.89292 0 39
-0.0387792 -0.159209 -0.147492 -9.27651 -1.88667 8.89293 0 40
-0.0330201 -0.158652 -0.159595 -9.28239 -1.3382 9.88757 0 41
-0.0231109 -0.14826 -0.141631 -13.1335 -2.26323 6.83338 0 42
-0.0144379 -0.150532 -0.15072 -13.1309 -1.53361 7.32928 0 43
-0.0103087 -0.165136 -0.155566 -12.4197 -0.0557346 6.6325 0 44
-0.0148122 -0.15863 -0.155244 -11.6942 -0.864906 8.04397 0 45
-0.0120856 -0.171856 -0.155633 -11.7002 0.459526 6.32807 0 46
-0.0163268 -0.161579 -0.158627 -10.9782 -0.567753 8.53351 0 47
-0.0336567 -0.154042 -0.159992 -9.56076 -1.87958 10.2583 0 48
-0.0219261 -0.167475 -0.164297 -9.55105 0.122843 9.14087 0 49
-0.0198564 -0.165891 -0.177882 -9.5592 0.561869 10.6394 0 50
-0.0371573 -0.160226 -0.157706 -8.84629 -1.32428 9.76403 0 51
-0.032537 -0.161844 -0.167246 -8.85011 -0.641125 10.3805 0 52
-0.0264234 -0.168393 -0.169238 -8.84254 0.372572 9.78629 0 53
-0.0171649 -0.145597 -0.148445 -13.2306 -2.10696 7.56779 0 54
-0.0106559 -0.151747 -0.15465 -13.234 -1.17616 7.44569 0 55
-0.0113274 -0.157887 -0.155341 -12.4826 -0.736191 7.48469 0 56
-0.011999 -0.162304 -0.157298 -11.7299 -0.359053 7.75864 0 57
-0.0372383 -0.153539 -0.15374 -9.49072 -2.25375 9.83976 0 58
-0.0327159 -0.153221 -0.167924 -9.49709 -1.68526 11.0398 0 59
-0.0193278 -0.166928 -0.183602 -9.49345 0.948542 11.1406 0 60
-0.041248 -0.157862 -0.154815 -8.74586 -1.80749 9.83177 0 61
-0.0279284 -0.165812 -0.179978 -8.75218 0.502832 11.1441 0 62
-0.011505 -0.151159 -0.154994 -12.9044 -1.30876 7.857 0 63
-0.0182578 -0.148883 -0.152578 -12.1298 -1.94925 8.54274 0 64
-0.0126485 -0.157671 -0.155459 -12.1347 -0.839489 7.82682 0 65
-0.0052805 -0.163551 -0.180463 -11.3603 0.772594 10.3465 0 66
-0.0094206 -0.166528 -0.183622 -10.5964 1.11609 10.7557 0 67
-0.0362019 -0.155236 -0.165141 -9.07566 -1.6316 10.7947 0 68
-0.0105599 -0.148075 -0.157562 -12.9876 -1.48701 8.37261 0 69
-0.0117794 -0.154516 -0.158381 -12.1842 -1.01997 8.42464 0 70
-0.0151973 -0.159915 -0.182159 -10.5803 0.108156 11.3174 0 71
-0.020397 -0.162923 -0.185604 -9.78626 0.479984 11.6919 0 72
-0.0377726 -0.153652 -0.168115 -8.99283 -1.76934 11.2336 0 73
-0.0476463 -0.155989 -0.157867 -8.19108 -2.04529 10.4854 0 74
-0.0097275 -0.144948 -0.160871 -13.0196 -1.67017 8.99768 0 75
-0.0157371 -0.150036 -0.174668 -11.3831 -1.24973 11.0656 0 76
-0.0080568 -0.161047 -0.171899 -11.3862 0.110567 9.64011 0 77
-0.0073137 -0.161238 -0.185705 -11.3837 0.644499 11.2317 0 78
-0.0251905 -0.148103 -0.174102 -10.5742 -1.86936 11.5752 0 79
-0.016643 -0.158559 -0.18515 -10.5738 0.00627899 11.7822 0 80
-0.0386554 -0.152799 -0.169851 -8.95775 -1.84237 11.474 0 81
-0.0485649 -0.154084 -0.161079 -8.14449 -2.18299 10.9391 0 82
-0.0128309 -0.140097 -0.160199 -13.031 -2.2743 9.39812 0 83
-0.0068225 -0.145948 -0.166999 -13.0319 -1.33187 9.54584 0 84
0.0010481 -0.154956 -0.184238 -13.0251 0.29748 10.7732 0 85
-0.0023612 -0.159337 -0.187056 -12.2048 0.671127 11.1921 0 86
-0.0383572 -0.152306 -0.179117 -8.94846 -1.5919 12.336 0 87
-0.0286139 -0.165244 -0.197311 -8.94746 1.1495 12.956 0 88
-0.0472723 -0.153584 -0.16975 -8.12992 -1.90425 11.6918 0 89
-0.0127381 -0.138853 -0.162035 -13.039 -2.35839 9.69084 0 90
-0.0069042 -0.144417 -0.169146 -13.039 -1.43651 9.92832 0 91
0.0004312 -0.154149 -0.185555 -13.0333 0.23193 11.0368 0 92
0.0015929 -0.159018 -0.193138 -13.0298 1.03891 11.6705 0 93
-0.0240089 -0.140334 -0.16932 -11.3873 -2.7898 11.3409 0 94
-0.02861 -0.143789 -0.175361 -10.5699 -2.48487 12.0339 0 95
-0.0391157 -0.151571 -0.180945 -8.94004 -1.65393 12.5663 0 96
-0.0298507 -0.164572 -0.198905 -8.93912 1.09547 13.1982 0 97
-0.0478234 -0.152688 -0.1716 -8.11837 -1.97062 11.931 0 98
-0.012719 -0.136492 -0.165071 -13.098 -2.52744 10.1634 0 99
-0.0151047 -0.141688 -0.16918 -12.2476 -2.16967 10.7257 0 100
-0.0100524 -0.161 -0.19532 -11.3995 0.888006 12.4725 0 101
-0.0076886 -0.136199 -0.170419 -13.6507 -2.12331 10.355 0 102
-0.0153946 -0.135865 -0.167307 -12.7561 -2.74074 10.6851 0 103
-0.010563 -0.141028 -0.176404 -12.7538 -1.82916 11.2479 0 104
-0.0015467 -0.155727 -0.202236 -13.7811 0.970383 13.1722 0 105
-0.0185733 -0.130814 -0.165475 -12.8559 -3.42843 10.8263 0 106
-0.0055289 -0.154638 -0.198614 -12.8471 0.464052 12.9841 0 107
-0.0225372 -0.13494 -0.175254 -11.9125 -3.18214 12.0294 0 108
-0.0112288 -0.153716 -0.194743 -11.9126 -0.0558147 12.844 0 109
-0.0134568 -0.135323 -0.176335 -12.9101 -2.54478 11.5913 0 110
-0.014005 -0.133696 -0.179372 -12.9691 -2.6915 12.0067 0 111
-0.0379619 -0.164792 -0.133766 -10.7077 -1.80738 6.4957 1 0
-0.0396532 -0.164786 -0.134622 -10.1782 -1.84365 6.89708 1 1
-0.0408052 -0.169022 -0.133428 -10.1777 -1.53363 6.3369 1 2
-0.0340144 -0.158257 -0.135498 -11.2438 -2.18719 6.9374 1 3
-0.0308217 -0.162833 -0.141181 -10.7027 -1.50151 7.18863 1 4
-0.0318936 -0.166967 -0.142561 -10.1633 -1.10378 7.14851 1 5
-0.0380735 -0.170459 -0.143626 -9.08677 -0.85994 7.39795 1 6
-0.0374242 -0.173478 -0.148817 -8.55361 -0.251038 7.57638 1 7
-0.0285273 -0.147166 -0.13676 -12.902 -2.72591 6.81053 1 8
-0.0199869 -0.15222 -0.144881 -12.8961 -1.76562 6.87822 1 9
-0.0223066 -0.153065 -0.144127 -12.3457 -1.87789 7.21758 1 10
-0.0211418 -0.157492 -0.144816 -12.3456 -1.42049 6.77646 1 11
-0.0244842 -0.158013 -0.142961 -11.7963 -1.6053 7.04175 1 12
-0.027828 -0.167334 -0.147389 -10.1525 -0.763494 7.44878 1 13
-0.0589292 -0.159694 -0.124248 -9.04443 -3.34736 7.54334 1 14
-0.0224438 -0.14755 -0.142883 -12.9277 -2.31757 7.19576 1 15
-0.0151783 -0.152854 -0.149958 -12.9224 -1.40875 7.19963 1 16
-0.02074 -0.162696 -0.146469 -11.8083 -0.950392 6.74664 1 17
-0.0215421 -0.163224 -0.148134 -11.2509 -0.909876 7.24913 1 18
-0.0206368 -0.167696 -0.151716 -10.6954 -0.347521 7.36582 1 19
-0.0553457 -0.159477 -0.128436 -9.01712 -3.08558 7.79901 1 20
-0.0164418 -0.144306 -0.149569 -13.2538 -2.16772 7.77486 1 21
-0.0071704 -0.150727 -0.159212 -13.2445 -1.02956 7.99163 1 22
-0.0080587 -0.154629 -0.157077 -13.2473 -0.766113 7.32169 1 23
-0.0337283 -0.139236 -0.133848 -12.693 -3.78653 7.55528 1 24
-0.0103311 -0.1595 -0.15513 -12.6788 -0.540379 7.08227 1 25
-0.0141034 -0.164926 -0.154912 -11.5406 -0.269743 7.36041 1 26
-0.015434 -0.165523 -0.156882 -10.9728 -0.210882 7.89037 1 27
-0.0147299 -0.169348 -0.156251 -10.9728 0.154991 7.32715 1 28
-0.0174112 -0.169498 -0.157542 -10.4066 0.152155 7.79398 1 29
-0.0465314 -0.156435 -0.138718 -9.26342 -2.74549 8.59676 1 30
-0.0426251 -0.160555 -0.141076 -9.26525 -2.10102 8.31024 2 -112
-0.0486886 -0.160284 -0.140356 -8.69639 -2.30447 8.57243 2 -111
-0.044671 -0.164283 -0.142924 -8.69884 -1.66122 8.28671 2 -110
-0.0319068 -0.130518 -0.136117 -13.3076 -4.34942 7.9486 2 -109
-0.0034277 -0.153867 -0.163211 -13.2805 -0.506714 8.00713 2 -108
-0.0045333 -0.157552 -0.160677 -13.2841 -0.286678 7.27734 2 -107
-0.0054797 -0.158723 -0.161548 -12.7035 -0.260246 7.7824 2 -106
-0.0075875 -0.162158 -0.157744 -12.7072 -0.13518 6.95382 2 -105
-0.0084651 -0.163184 -0.159076 -12.1269 -0.0834141 7.48632 2 -104
-0.0333468 -0.148331 -0.137297 -11.5544 -3.02224 7.84376 2 -103
